musteri_yasi,sehir,cinsiyet,aylik_gelir,toplam_harcama,siparis_sayisi,ortalama_sepet,musteri_id,churn
64.0,Sehir_11,Erkek,57748.22403315738,477.2086313760829,,359.2410898239421,USR000027,1
49.0,Sehir_84,Kadin,36901.72296462485,8818.137331439992,,43.80160760454709,USR000028,1
43.0,Sehir_27,Erkek,57843.2443788539,3457.001269183385,4.0,278.75152449190585,USR000029,0
43.0,Sehir_38,Erkek,13406.886667748355,2229.6093096965524,19.0,282.0803248925348,USR000030,0
30.0,Sehir_100,Kadin,36004.684849257006,13448.59582797839,38.0,385.96846331282995,USR000031,1
23.0,Sehir_43,Erkek,12421.133428211308,1420.018687918484,5.0,641.2727330602174,USR000032,1
49.0,Sehir_17,Kadin,49488.042192114466,21317.761331140355,4.0,358.2224732613769,USR000033,1
68.0,Sehir_2,Kadin,8081.816706124525,14477.039321881179,30.0,61.601136931045176,USR000034,1
21.0,Sehir_27,Erkek,47985.2081488716,5012.8913629492245,17.0,212.9138525184558,USR000035,1
66.0,Sehir_109,Kadin,11212.679277145566,7510.277513359077,22.0,389.34317928063706,USR000036,0
65.0,Sehir_65,Erkek,26720.270882640405,1942.5070022843804,37.0,363.94921395180455,USR000037,1
33.0,Sehir_119,Kadin,74305.64125244487,19938.47027230179,27.0,593.6683283468876,USR000038,0
54.0,Sehir_25,Kadin,43560.41006844498,10146.023042960687,35.0,494.011594755706,USR000039,1
27.0,Sehir_42,Erkek,9734.891973390186,11094.668376967827,7.0,489.5173210666575,USR000040,1
61.0,Sehir_19,Erkek,21206.96457173664,14798.312834835879,1.0,317.43003617712344,USR000041,0
57.0,Sehir_47,Erkek,10925.963186684814,3748.464255924393,13.0,514.8681554826317,USR000042,1
38.0,Sehir_67,Erkek,9359.931024955928,1309.1457052867916,10.0,215.6115310704063,USR000043,1
21.0,Sehir_96,Erkek,39899.95762738859,25559.952494322362,16.0,495.2441463940604,USR000044,0
73.0,Sehir_44,Belirtmek istemiyorum,56853.81906507814,18517.325685361033,39.0,307.6371645263949,USR000045,1
43.0,Sehir_92,Erkek,51662.35936208322,4262.322319187627,8.0,132.80098910592108,USR000046,1
68.0,Sehir_75,Kadin,58812.01512681614,13239.131609796656,7.0,438.9855050922311,USR000047,0
56.0,Sehir_35,Erkek,35971.10726722445,36664.64163560825,10.0,559.6315427921579,USR000048,1
62.0,Sehir_109,Belirtmek istemiyorum,29181.42994033577,31775.18644490562,16.0,289.0097193026056,USR000049,1
61.0,Sehir_52,Erkek,15391.097523382628,4115.556727903452,10.0,584.4142625365191,USR000050,1
29.0,Sehir_18,Erkek,25538.34335088531,1357.6176917596138,10.0,101.60886285176807,USR000051,0
38.0,Sehir_115,Kadin,12618.525510370075,1667.9353655270756,29.0,170.4810144835457,USR000052,1
44.0,Sehir_109,Erkek,18469.344420927588,5574.337663147449,6.0,327.9910937371793,USR000053,1
46.0,Sehir_5,Kadin,38993.158878389644,46853.47978544954,8.0,294.3854171108459,USR000054,1
20.0,Sehir_108,Erkek,33049.282316711964,3380.792760256359,,249.9299920911164,USR000055,0
49.0,Sehir_113,Kadin,421587.4171590872,3961.6131261437513,1.0,370.0516578227335,USR000056,0
26.0,Sehir_99,Kadin,12374.132970543646,3864.9602727832316,4.0,270.7114313254468,USR000057,0
60.0,Sehir_30,Kadin,32857.03063325561,4280.9192538608495,4.0,296.15380042958986,USR000058,1
56.0,Sehir_75,Erkek,11626.175121149481,7994.649521497028,27.0,391.76376055255565,USR000059,0
70.0,Sehir_64,Erkek,26629.404038348435,1744.0055565131318,35.0,249.86946762929577,USR000060,0
60.0,Sehir_74,Erkek,27510.566722545133,29769.270452890945,34.0,334.097275802154,USR000061,1
38.0,Sehir_73,Erkek,71389.3531017324,6810.458377763433,34.0,253.16914304606158,USR000062,0
73.0,Sehir_76,Erkek,25343.226361155834,158730.24842917064,3.0,169.15693748599554,USR000063,0
41.0,Sehir_61,Kadin,31161.677075406966,1981.7088395249725,17.0,464.5553262010556,USR000064,1
36.0,Sehir_82,Kadin,25738.56243211329,54602.74341626653,32.0,606.1691661263021,USR000065,1
,Sehir_63,Kadin,11839.04924255941,43028.34990649077,34.0,509.6857992610875,USR000066,0
39.0,Sehir_1,Erkek,21554.03037841731,4944.243202566155,17.0,399.75741227919747,USR000067,1
22.0,Sehir_4,Erkek,26754.303768711656,5043.8616283375895,,253.77073358960496,USR000068,1
44.0,Sehir_114,Kadin,38524.92474290338,2682.3340821499764,,306.9621913725889,USR000069,0
63.0,Sehir_109,Erkek,56792.40209222717,2719.529835388925,38.0,508.5531890700993,USR000070,0
28.0,Sehir_70,Erkek,30101.27450595776,8097.193994979006,40.0,7.776984946487801,USR000071,0
44.0,Sehir_20,Erkek,29680.899066334387,8306.845235855953,,295.5109663409224,USR000072,1
25.0,Sehir_93,Kadin,9166.854385640276,1184.615679265302,39.0,460.11738796163996,USR000073,0
57.0,Sehir_17,Belirtmek istemiyorum,55926.16478708928,127033.53529073075,29.0,179.25794267232448,USR000074,1
45.0,Sehir_45,Erkek,20811.930651821258,5934.747556348873,20.0,413.5082426368305,USR000075,1
36.0,Sehir_39,Kadin,66019.04834022062,8766.866576673863,18.0,406.5483906148534,USR000076,0
30.0,Sehir_1,Erkek,104104.65375713809,3821.9463207831154,,131.8501354606262,USR000077,1
50.0,Sehir_96,Erkek,31246.66653658703,5881.626116529268,15.0,363.04671652144003,USR000078,0
,Sehir_61,Kadin,16016.119701345173,5274.0100184667845,31.0,257.38320979977203,USR000079,0
,Sehir_37,Erkek,35833.593901710956,8074.639385971959,25.0,412.41480138252996,USR000080,0
,Sehir_60,Kadin,48000.25480987073,7962.450693214192,19.0,450.46830288368955,USR000081,0
27.0,Sehir_0,Erkek,28214.293747870866,21286.73990673296,23.0,409.8408400659726,USR000082,1
65.0,Sehir_52,Erkek,23127.30591138997,10643.066481467526,4.0,360.88884863646445,USR000083,1
53.0,Sehir_62,Kadin,57001.09564978097,18866.433645080095,35.0,393.3306908633859,USR000084,1
57.0,Sehir_40,Erkek,54071.50518804919,8008.245792022092,4.0,173.59023666259935,USR000085,0
23.0,Sehir_99,Kadin,27528.25711990442,10694.69460447034,4.0,345.38723242051645,USR000086,1
35.0,Sehir_29,Erkek,9669.646851706166,6065.869537099334,13.0,230.5275129916992,USR000087,0
61.0,Sehir_16,Kadin,52318.35519871882,27003.83254988762,27.0,504.73081302305746,USR000088,1
65.0,Sehir_63,Erkek,19656.006507038976,11934.0019970009,15.0,452.485723397216,USR000089,0
42.0,Sehir_106,Erkek,43108.38739521087,6702.998044242924,,452.06020251798054,USR000090,0
63.0,Sehir_45,Kadin,40983.539331125314,6467.2602185079995,,607.0237333645973,USR000091,1
65.0,Sehir_5,Erkek,8013.172734799805,7107.549375820832,20.0,300.50338027994763,USR000092,1
40.0,Sehir_116,Erkek,38749.1983772676,8404.585329127991,,267.6488971683725,USR000093,0
69.0,Sehir_53,Belirtmek istemiyorum,54809.89488873865,7573.1674365149165,5.0,296.95959256138354,USR000094,0
34.0,Sehir_20,Kadin,60459.07278740722,4143.8890658052815,8.0,109.66453882426941,USR000095,1
31.0,Sehir_73,Kadin,39890.464959656136,20289.9438678343,18.0,121.46253187309884,USR000096,0
56.0,Sehir_38,Kadin,7467.0192186238755,21887.942448546084,,443.16545134521675,USR000097,0
54.0,Sehir_112,Kadin,100877.76846934998,,25.0,140.72898036142584,USR000098,0
25.0,Sehir_35,Kadin,50454.041623210505,3927.0522005767248,35.0,188.76311524849115,USR000099,0
65.0,Sehir_66,Kadin,13868.072525651263,18028.81283543797,32.0,334.74201843425595,USR000100,0
29.0,Sehir_65,Erkek,19337.26936285936,819.7793514578128,25.0,288.16585958934996,USR000101,1
63.0,Sehir_29,Erkek,43694.58093960522,21913.35786480141,,482.84785366941003,USR000102,0
18.0,Sehir_59,Kadin,62556.62056375881,1411.0670383980032,,359.06919575022425,USR000103,0
63.0,Sehir_13,Kadin,24578.5579779894,2486.9259678617072,22.0,230.22969812417006,USR000104,1
62.0,Sehir_77,Erkek,70292.49574230061,,35.0,495.74495146146194,USR000105,0
62.0,Sehir_90,Erkek,8654.083216701827,3843.74010596345,31.0,459.3187077258173,USR000106,1
55.0,Sehir_114,Erkek,15772.651335970902,3261.608599191896,30.0,138.35248436391512,USR000107,0
44.0,Sehir_39,Kadin,6963.9964569840995,4528.838450941191,5.0,387.8399966990049,USR000108,1
58.0,Sehir_34,Kadin,17713.38567734779,19449.004987874167,11.0,242.73848156222775,USR000109,1
33.0,Sehir_65,Erkek,121353.34159791979,2645.278215747796,,238.78433107997483,USR000110,1
62.0,Sehir_83,Kadin,188384.76782467018,7593.243843389195,12.0,630.4271991968765,USR000111,1
,Sehir_119,Kadin,43812.409343593354,5144.134736680739,32.0,368.6407082677682,USR000112,1
44.0,Sehir_3,Kadin,21791.094021574176,21674.00565933953,,317.36922672290797,USR000113,1
46.0,Sehir_28,Erkek,30414.90548749429,22415.45835355202,30.0,362.74268379434307,USR000114,1
50.0,Sehir_31,Kadin,53033.12051145239,895.7504361332586,11.0,481.1360394243941,USR000115,0
20.0,Sehir_30,Kadin,10400.564044311339,28399.62734809273,,244.7593286069834,USR000116,0
25.0,Sehir_55,Kadin,22971.294706814348,3893.613447467057,2.0,270.3725045838497,USR000117,0
31.0,Sehir_104,Erkek,114452.41883240223,10759.567506190691,36.0,448.50071872194917,USR000118,1
24.0,Sehir_3,Kadin,15731.682389631742,2626.2428024587775,14.0,122.54160642644464,USR000119,0
43.0,Sehir_97,Kadin,19945.923799024637,12649.355234497621,32.0,498.61577613639366,USR000120,0
56.0,Sehir_74,Erkek,36700.84009986463,173098.96195374738,24.0,109.22303977646598,USR000121,0
55.0,Sehir_73,Erkek,45547.627130716406,9438.937251785726,28.0,313.1349787136886,USR000122,1
44.0,Sehir_81,Kadin,22026.394496142675,4666.584622231618,19.0,110.17506902489913,USR000123,0
66.0,Sehir_13,Kadin,38621.77465368099,6132.798919174192,26.0,191.56225070984857,USR000124,0
50.0,Sehir_89,Erkek,59062.50843149452,1390.145992679919,,544.6500287907429,USR000125,1
22.0,Sehir_29,Erkek,174409.53445641548,,,506.66868107520816,USR000126,1
61.0,Sehir_61,Erkek,32826.930077495774,11795.338961019075,21.0,522.6983449667157,USR000127,1
50.0,Sehir_81,Kadin,35135.31917134717,2301.514152393452,,132.6517574692392,USR000128,1
54.0,Sehir_72,Belirtmek istemiyorum,123248.9874904554,,,192.34157626975053,USR000129,1
50.0,Sehir_38,Erkek,23404.119043658062,8253.056165041,31.0,400.98088532466977,USR000130,1
49.0,Sehir_47,Erkek,12588.230558959212,24794.92990669081,30.0,457.2976235269022,USR000131,1
23.0,Sehir_57,Erkek,44364.69083282651,2036.1419789870401,2.0,230.0729472352063,USR000132,1
49.0,Sehir_4,Erkek,85900.0783492527,30825.304620568608,26.0,263.1617926184117,USR000133,1
63.0,Sehir_87,Kadin,48476.65923306623,7259.307645602165,11.0,180.2978530912047,USR000134,0
35.0,Sehir_11,Kadin,33603.56609039419,2653.6940727391366,8.0,598.7367935872312,USR000135,0
52.0,Sehir_55,Erkek,11399.050044630585,4622.872241111552,,278.7566301419725,USR000136,0
19.0,Sehir_78,Erkek,34658.71900794688,66056.42979201348,14.0,354.69384554191475,USR000137,1
37.0,Sehir_9,Erkek,97394.3949298293,1531.7160637498248,31.0,362.5466903333941,USR000138,1
42.0,Sehir_119,Kadin,13530.56304377433,3366.8351345163073,,515.8430680210714,USR000139,0
74.0,Sehir_45,Kadin,29857.825968491758,25415.139063150575,30.0,207.13001530513864,USR000140,1
30.0,Sehir_1,Kadin,26635.82023538259,10506.490122955736,39.0,525.239125133923,USR000141,1
33.0,Sehir_79,Erkek,20781.871922533286,3135.3968064584737,38.0,158.1918926567463,USR000142,1
41.0,Sehir_66,Kadin,44282.21479896584,25790.252350256826,22.0,524.8580386666586,USR000143,0
74.0,Sehir_76,Erkek,51774.042520369825,27303.082306588898,,92.705062234288,USR000144,1
66.0,Sehir_90,Kadin,51341.85183688695,12060.233145456265,,334.3166522197843,USR000145,1
19.0,Sehir_57,Kadin,16623.160106399715,3885.9551751024037,17.0,593.815583255434,USR000146,0
31.0,Sehir_99,Kadin,9732.373138160785,4675.23382352245,,454.5884162368482,USR000147,1
64.0,Sehir_44,Kadin,44797.64048294097,11402.766476941511,9.0,413.1863432961873,USR000148,0
21.0,Sehir_65,Erkek,24228.01208282256,1678.5491977638835,6.0,192.73772875637414,USR000149,0
66.0,Sehir_19,Kadin,158047.34258634117,39868.501593322864,26.0,239.77981337474637,USR000150,0
34.0,Sehir_74,Erkek,163997.7122168793,62333.28965279103,30.0,551.6593731546739,USR000151,0
70.0,Sehir_31,Erkek,178537.12388364854,,29.0,420.85092368854714,USR000152,0
34.0,Sehir_83,Erkek,17118.43580809921,12423.254906466149,40.0,483.5373870500846,USR000153,1
42.0,Sehir_96,Erkek,57267.884714675856,33622.892939089295,20.0,361.0690718721111,USR000154,1
55.0,Sehir_103,Erkek,72894.02942865428,,40.0,307.7402773979772,USR000155,0
25.0,Sehir_111,Erkek,66614.88878243403,52489.98154150069,,464.99924457131476,USR000156,0
49.0,Sehir_14,Kadin,27350.269037660633,1009.6459299521717,5.0,388.90295516839547,USR000157,0
46.0,Sehir_16,Erkek,101046.07928963008,,23.0,324.5059998367935,USR000158,1
62.0,Sehir_111,Erkek,36329.3047913385,14776.980861968439,12.0,137.8989415187898,USR000159,0
74.0,Sehir_45,Belirtmek istemiyorum,40234.692499881276,4478.033345815276,33.0,493.08624459793634,USR000160,0
55.0,Sehir_3,Kadin,10611.920657775394,68824.84611006193,21.0,416.00394674590757,USR000161,0
41.0,Sehir_34,Erkek,60828.39461672806,57253.852250046715,14.0,259.06069262782205,USR000162,1
41.0,Sehir_100,Erkek,29485.993387243536,3043.866406361825,13.0,526.8879101192076,USR000163,1
41.0,Sehir_42,Kadin,52671.147017770614,6668.298281263978,18.0,386.57187485999367,USR000164,0
64.0,Sehir_9,Kadin,43830.752411121815,3296.2312078189766,6.0,389.50982586426153,USR000165,1
36.0,Sehir_86,Erkek,41971.632874755145,6411.48291448718,6.0,482.58433643672527,USR000166,1
27.0,Sehir_23,Kadin,35011.40491219677,6182.519669063799,31.0,450.3059930457948,USR000167,1
37.0,Sehir_42,Erkek,68137.28103067198,25466.25439547818,,394.0511718696267,USR000168,1
19.0,Sehir_0,Erkek,30973.45946554317,2790.1270279758123,25.0,321.71224196825045,USR000169,1
24.0,Sehir_72,Kadin,11337.170877313476,350.6892396043497,,647.5496231351794,USR000170,1
23.0,Sehir_53,Kadin,57248.94453056183,1181.5096938824843,8.0,239.92987687039786,USR000171,1
61.0,Sehir_104,Kadin,19011.428552295263,2359.1061228140507,,461.895775849112,USR000172,1
59.0,Sehir_40,Erkek,12589.148929859124,3689.2191169008534,29.0,337.421125044151,USR000173,1
57.0,Sehir_24,Erkek,16029.809037067096,10143.711955686978,37.0,418.20704411947565,USR000174,1
44.0,Sehir_19,Erkek,45554.55526408423,2217.7474849945784,4.0,535.0134977555409,USR000175,0
58.0,Sehir_24,Erkek,33616.92561045584,1894.4413874058537,30.0,303.26323595468125,USR000176,0
27.0,Sehir_54,Erkek,6593.592191053603,2656.2299882723505,19.0,440.2754513200496,USR000177,1
69.0,Sehir_10,Kadin,26717.531664499333,2124.3373524952435,,389.8335920764659,USR000178,0
46.0,Sehir_48,Kadin,92538.95592508162,,39.0,253.8047758582524,USR000179,0
71.0,Sehir_102,Kadin,25310.217912802655,3957.054146140199,,538.7148498078811,USR000180,0
,Sehir_92,Erkek,31812.633102666518,18524.84680266784,,456.67816935108357,USR000181,0
46.0,Sehir_76,Erkek,83649.70249484981,2471.4609633845585,36.0,284.8175102732497,USR000182,0
57.0,Sehir_107,Kadin,68623.57451927234,5275.791771822637,13.0,515.5390665857119,USR000183,1
46.0,Sehir_93,Erkek,82240.31164350908,4213.179149504072,14.0,225.28705248904507,USR000184,0
43.0,Sehir_78,Kadin,3951.9211705950356,21389.63999154661,,345.6598605672301,USR000185,1
27.0,Sehir_103,Erkek,145338.15805725407,6733.597783847287,30.0,285.6164248165827,USR000186,1
39.0,Sehir_14,Kadin,60422.71252021617,28590.679957270502,,462.6967983529986,USR000187,1
31.0,Sehir_98,Kadin,260193.56953797524,2032.7722662683946,39.0,278.0474966700301,USR000188,1
35.0,Sehir_35,Kadin,19421.562082075754,7636.999503517363,30.0,463.7724675441566,USR000189,0
56.0,Sehir_87,Kadin,8859.446018192159,4059.9696596046765,8.0,439.1690213883552,USR000190,0
53.0,Sehir_109,Kadin,36525.822872273406,1860.7681820301984,,293.71262788802414,USR000191,0
52.0,Sehir_59,Erkek,29135.19394118458,7472.513873903518,12.0,624.4576387184454,USR000192,1
38.0,Sehir_10,Kadin,61262.98995946597,64829.32393769356,13.0,238.2148025414802,USR000193,0
72.0,Sehir_44,Kadin,85814.44909507093,2911.7496578865125,8.0,138.64788709148587,USR000194,0
22.0,Sehir_48,Belirtmek istemiyorum,33865.92698061794,6953.872807126907,4.0,478.4148705003033,USR000195,0
37.0,Sehir_112,Erkek,29954.46167849355,1677.9398774339968,19.0,27.58880888188105,USR000196,0
24.0,Sehir_113,Erkek,55170.068926485306,1406.5943030582694,,573.7725239495959,USR000197,0
37.0,Sehir_68,Kadin,29582.4650390461,3150.439370491285,,365.263081478955,USR000198,0
72.0,Sehir_114,Kadin,27667.516632146373,4722.154262702299,25.0,135.9522387792143,USR000199,1
38.0,Sehir_52,Erkek,83258.70366781634,4980.573633737508,16.0,207.73032462839427,USR000200,1
69.0,Sehir_49,Erkek,99490.98196512208,6178.124231107351,17.0,104.88669867274797,USR000201,1
46.0,Sehir_100,Erkek,86437.16347209804,,,407.4324429055314,USR000202,1
57.0,Sehir_80,Erkek,31742.64201231497,3823.2821955838804,3.0,150.9628743511613,USR000203,0
44.0,Sehir_62,Erkek,6556.215498827247,14795.970631923186,3.0,425.31335460439226,USR000204,0
33.0,Sehir_54,Erkek,32255.21875155136,1587.8019422545806,4.0,304.27637728196385,USR000205,0
61.0,Sehir_84,Erkek,19803.5400253009,5291.33135015892,,278.6953789681859,USR000206,1
73.0,Sehir_90,Kadin,32735.650251759598,11515.077146968802,5.0,426.40189502923903,USR000207,0
33.0,Sehir_58,Erkek,21229.081421733466,3169.343328664586,,443.52669944421376,USR000208,1
62.0,Sehir_3,Erkek,35717.93118026957,12207.786628838721,9.0,521.8704308068183,USR000209,1
32.0,Sehir_12,Erkek,15812.870825576423,1305.900950057746,27.0,254.9332495654072,USR000210,1
58.0,Sehir_17,Erkek,13035.426567678564,23532.541513655673,,345.52858060086044,USR000211,0
62.0,Sehir_55,Belirtmek istemiyorum,96582.5330010622,,6.0,254.7009301202884,USR000212,0
43.0,Sehir_73,Kadin,16718.54580223736,8662.845127053124,14.0,374.4481213320192,USR000213,0
60.0,Sehir_96,Erkek,36325.13846268561,31250.21801333738,36.0,233.2565472094803,USR000214,1
33.0,Sehir_27,Erkek,77933.55450301316,5457.691236835389,,286.38549042492235,USR000215,0
,Sehir_94,Erkek,75466.43757591855,3860.579825529714,,287.14992353434064,USR000216,0
23.0,Sehir_79,Erkek,68588.39044746046,42068.44193830474,1.0,394.00414160408167,USR000217,0
,Sehir_6,Erkek,46272.04192628197,73785.60686819814,39.0,350.44324508518673,USR000218,0
69.0,Sehir_42,Erkek,64809.18699007363,3525.8427075937225,16.0,425.94524086530805,USR000219,0
25.0,Sehir_36,Erkek,108931.06240038939,7069.239001979568,28.0,333.95051267811226,USR000220,1
43.0,Sehir_106,Kadin,51022.30021204578,28397.34835230737,,263.03709997857993,USR000221,1
58.0,Sehir_110,Erkek,8351.848098765258,7377.764790677894,,378.692434588621,USR000222,0
29.0,Sehir_98,Erkek,23793.636145967903,16539.491268980462,10.0,212.42240849137434,USR000223,0
59.0,Sehir_63,Kadin,63392.197014996615,20670.943902843934,24.0,435.373672366903,USR000224,0
35.0,Sehir_59,Erkek,21989.56393126963,4126.704845779773,14.0,307.1802218052738,USR000225,0
64.0,Sehir_37,Erkek,132731.67810891918,,31.0,380.67791145493027,USR000226,0
51.0,Sehir_92,Erkek,34525.5924260955,8043.091205595581,,383.0036007417892,USR000227,0
49.0,Sehir_10,Erkek,38878.59095652526,1881.374090270668,16.0,590.2318226578309,USR000228,0
28.0,Sehir_32,Erkek,89303.4463550329,2471.0954276552684,6.0,407.2375552344169,USR000229,0
44.0,Sehir_16,Kadin,31373.538138474818,3703.7447845184124,4.0,360.9828429604658,USR000230,0
66.0,Sehir_59,Kadin,41815.46928263216,24691.73425252915,3.0,246.14437702093173,USR000231,1
19.0,Sehir_35,Erkek,74555.47716652052,,18.0,470.35777323957564,USR000232,0
61.0,Sehir_23,Erkek,11183.374192849547,19928.287862914432,,309.46917193812175,USR000233,1
46.0,Sehir_45,Kadin,28904.757215593265,13740.910691855752,13.0,121.1779781110325,USR000234,0
59.0,Sehir_103,Kadin,70496.80272145977,,20.0,320.7367666608004,USR000235,0
55.0,Sehir_66,Erkek,38272.24040110932,11305.815738920237,34.0,378.72346915523207,USR000236,1
42.0,Sehir_98,Erkek,117461.63512335067,13215.114171057134,33.0,227.22414535209717,USR000237,1
,Sehir_109,Erkek,10293.432129013498,14334.651980235296,14.0,332.27295423353985,USR000238,1
53.0,Sehir_108,Kadin,9395.617025569974,1502.211149182347,7.0,339.27757450263465,USR000239,0
25.0,Sehir_42,Erkek,67221.55360787587,3139.1377047507435,8.0,341.6138158586271,USR000240,1
51.0,Sehir_105,Erkek,72594.59666536444,2357.3515673116026,11.0,535.1962804573183,USR000241,0
23.0,Sehir_109,Erkek,31113.590445612146,30594.45337283479,5.0,153.26632082229327,USR000242,0
55.0,Sehir_115,Erkek,50026.86899816012,58978.02077830395,23.0,655.0703688778347,USR000243,0
53.0,Sehir_42,Erkek,65917.91811591096,,32.0,345.0747019713188,USR000244,1
22.0,Sehir_27,Kadin,18937.690759664776,52985.710037511926,34.0,437.03168509286934,USR000245,1
61.0,Sehir_70,Kadin,20630.40628905999,8991.775887123325,,369.1754399806783,USR000246,0
41.0,Sehir_111,Erkek,42267.80412200324,27316.980468310707,15.0,91.09646423522139,USR000247,1
62.0,Sehir_108,Erkek,74852.2289215164,14879.810684672433,33.0,191.51335175211867,USR000248,1
20.0,Sehir_68,Kadin,14288.845243032541,45636.99974071434,,271.3586180543316,USR000249,0
28.0,Sehir_17,Erkek,30996.881897351777,10422.17388793322,2.0,499.0579727175447,USR000250,0
46.0,Sehir_50,Erkek,29870.02340095253,1577.9071343061694,39.0,142.35182963754286,USR000251,1
28.0,Sehir_85,Erkek,50734.79692448879,7138.015956460377,5.0,221.6393859438376,USR000252,0
36.0,Sehir_67,Kadin,36063.67135579872,15044.793377361053,28.0,374.7276260417384,USR000253,0
55.0,Sehir_41,Kadin,23465.65479360642,6253.187909171848,,420.92846716744043,USR000254,1
26.0,Sehir_41,Kadin,98602.57191744124,,23.0,416.40813152472515,USR000255,0
56.0,Sehir_7,Kadin,23590.373722855587,7488.794634830382,28.0,202.39923294144268,USR000256,1
23.0,Sehir_34,Erkek,28747.983642234627,3965.5062953900356,31.0,110.30129597129874,USR000257,0
27.0,Sehir_80,Erkek,10165.977566280028,2201.3496753315294,29.0,430.8589464819549,USR000258,0
51.0,Sehir_28,Erkek,20518.850896551245,5063.5421193183265,36.0,564.9685912309593,USR000259,0
63.0,Sehir_119,Kadin,54877.61818677772,10357.70513945357,,298.20475769364714,USR000260,1
27.0,Sehir_9,Kadin,46933.24561717042,771.8033849596361,7.0,178.29702732739509,USR000261,0
35.0,Sehir_70,Erkek,58665.88093168709,3177.685266609845,21.0,285.5179516302735,USR000262,0
70.0,Sehir_59,Kadin,56431.671356829545,738.0189828367784,,409.1093860077096,USR000263,1
74.0,Sehir_99,Erkek,192947.07915858345,3864.200855530381,19.0,315.028526483505,USR000264,1
51.0,Sehir_106,Erkek,19964.5391840721,34090.624398591855,24.0,561.0790462272219,USR000265,0
43.0,Sehir_65,Erkek,9941.378829302861,1952.0987248034849,37.0,488.7456079106431,USR000266,1
37.0,Sehir_75,Kadin,15670.850399386283,18841.020155275928,,377.65070993063773,USR000267,0
52.0,Sehir_83,Kadin,20683.230524393402,247357.55322433944,13.0,56.8515650555957,USR000268,0
51.0,Sehir_62,Kadin,16656.210863825007,46362.478474405,,246.16045567383196,USR000269,0
34.0,Sehir_22,Kadin,39141.11304649591,9511.111792828022,35.0,267.7966510481501,USR000270,1
19.0,Sehir_51,Kadin,98925.65866383548,22700.02595715351,2.0,238.00760275280095,USR000271,0
,Sehir_28,Kadin,124458.45673702192,1566.1577989321265,,378.62319077973876,USR000272,0
72.0,Sehir_55,Kadin,54363.42115706645,1226.4786004707698,19.0,381.71631215528447,USR000273,0
41.0,Sehir_73,Erkek,201393.86003125273,8386.996342521184,14.0,98.8887697767172,USR000274,1
45.0,Sehir_25,Kadin,27307.087278360403,13073.370789531104,26.0,470.68970930917266,USR000275,0
