musteri_id;recency_gun;frequency;monetary;ort_sepet;son_islem_ay;son_islem_yil;dominant_kanal;sehir;segment_mevcut;kayip_riski
MUS-11987;419;2;492.51;246.25;11;2023;Mağaza;Adana;kayıp;1
MUS-11173;15;9;8460.16;940.02;12;2024;Telefon;Adana;sadık;0
MUS-11468;8;13;54254.99;4173.46;12;2024;Mağaza;Kayseri;şampiyon;0
MUS-10023;120;4;1419.61;354.9;9;2024;Mağaza;Gaziantep;riskli;1
MUS-10520;35;4;2785.51;696.38;11;2024;Online;Ankara;sadık;0
MUS-11759;4;12;70166.01;5847.17;12;2024;Telefon;Antalya;şampiyon;0
MUS-10636;5;5;6467.18;1293.44;12;2024;Online;Bursa;sadık;0
MUS-11485;15;3;1420.34;473.45;12;2024;Mağaza;İzmir;riskli;1
MUS-11552;230;1;201.86;201.86;5;2024;Mağaza;Bursa;kayıp;1
MUS-11946;13;3;558.75;186.25;12;2024;Online;Mersin;kayıp;1
MUS-12200;47;4;1843.95;460.99;11;2024;Online;İzmir;riskli;1
MUS-11835;4;6;9269.22;1544.87;12;2024;Online;Gaziantep;sadık;0
MUS-12285;254;4;2035.88;508.97;4;2024;Mağaza;İzmir;riskli;1
MUS-12159;4;10;33795.36;3379.54;12;2024;Mağaza;Mersin;şampiyon;0
MUS-10353;12;13;55459.96;4266.15;12;2024;Telefon;Antalya;şampiyon;0
MUS-11005;13;12;39928.28;3327.36;12;2024;Telefon;İzmir;şampiyon;0
MUS-10751;31;3;3265.83;1088.61;11;2024;Mağaza;Adana;sadık;0
MUS-10630;6;14;44124.46;3151.75;12;2024;Online;İzmir;şampiyon;0
MUS-10946;7;12;69136.85;5761.4;12;2024;Online;İstanbul;şampiyon;0
MUS-10378;30;3;523.76;174.59;12;2024;Online;Konya;kayıp;1
MUS-10866;8;14;70313.55;5022.4;12;2024;Telefon;Ankara;şampiyon;0
MUS-11889;31;5;8814.15;1762.83;11;2024;Mağaza;Adana;sadık;0
MUS-11673;202;3;715.35;238.45;6;2024;Mağaza;Ankara;kayıp;1
MUS-10595;5;7;28225.28;4032.18;12;2024;Online;Gaziantep;şampiyon;0
MUS-10896;12;12;49941.48;4161.79;12;2024;Online;İstanbul;şampiyon;0
MUS-11205;4;6;8488.99;1414.83;12;2024;Online;Mersin;sadık;0
MUS-10547;4;10;51806.14;5180.61;12;2024;Online;Konya;şampiyon;0
MUS-10042;0;12;70701.08;5891.76;12;2024;Online;Mersin;şampiyon;0
MUS-11940;17;7;9032.63;1290.38;12;2024;Telefon;Antalya;sadık;0
MUS-10280;23;7;42208.47;6029.78;12;2024;Online;Mersin;şampiyon;0
MUS-11417;19;7;4910.16;701.45;12;2024;Online;Adana;sadık;0
MUS-10861;42;5;4713.94;942.79;11;2024;Online;Mersin;sadık;0
MUS-11628;21;7;27078.56;3868.37;12;2024;Online;İzmir;şampiyon;0
MUS-11830;54;8;9813.03;1226.63;11;2024;Telefon;Gaziantep;sadık;0
MUS-12059;2;14;81739.7;5838.55;12;2024;Online;İzmir;şampiyon;0
MUS-11278;28;13;60644.57;4664.97;12;2024;Online;Gaziantep;şampiyon;0
MUS-11739;12;8;12863.6;1607.95;12;2024;Online;Konya;sadık;0
MUS-11665;11;7;10943.96;1563.42;12;2024;Online;Kayseri;sadık;0
MUS-10325;8;4;5523.41;1380.85;12;2024;Telefon;Kayseri;sadık;0
MUS-11753;437;1;348.19;348.19;10;2023;Mağaza;Konya;kayıp;1
MUS-11461;16;6;4942.64;823.77;12;2024;Mağaza;İstanbul;sadık;0
MUS-10286;25;4;1199.7;299.93;12;2024;Mağaza;Adana;riskli;1
MUS-11201;41;11;41905.85;3809.62;11;2024;Telefon;Konya;şampiyon;0
MUS-10745;82;3;668.6;222.87;10;2024;Online;Adana;kayıp;1
MUS-10764;28;15;72138.95;4809.26;12;2024;Online;Bursa;şampiyon;0
MUS-11787;3;14;74766.61;5340.47;12;2024;Online;Adana;şampiyon;0
MUS-11484;9;10;48274.7;4827.47;12;2024;Telefon;Konya;şampiyon;0
MUS-12259;58;5;2735.67;547.13;11;2024;Mağaza;Bursa;riskli;1
MUS-11261;12;14;61201.82;4371.56;12;2024;Online;Mersin;şampiyon;0
MUS-10348;3;10;60028.53;6002.85;12;2024;Online;Mersin;şampiyon;0
MUS-11151;7;13;53260.41;4096.95;12;2024;Online;Ankara;şampiyon;0
MUS-10342;410;2;205.91;102.95;11;2023;Telefon;Konya;kayıp;1
MUS-10893;24;11;46797.33;4254.3;12;2024;Online;Konya;şampiyon;0
MUS-11419;3;7;6379.51;911.36;12;2024;Online;İstanbul;sadık;0
MUS-10795;0;14;61629.33;4402.1;12;2024;Mağaza;Ankara;şampiyon;0
MUS-10222;30;6;8819.28;1469.88;12;2024;Telefon;Konya;sadık;0
MUS-11746;11;15;42829.65;2855.31;12;2024;Online;Ankara;şampiyon;0
MUS-12247;15;4;2702.45;675.61;12;2024;Online;Mersin;riskli;1
MUS-12112;14;7;28596.07;4085.15;12;2024;Mağaza;Bursa;şampiyon;0
MUS-10284;19;7;12249.7;1749.96;12;2024;Online;Adana;sadık;0
MUS-11743;34;8;6117.17;764.65;11;2024;Online;Mersin;sadık;0
MUS-10858;34;7;37594.03;5370.58;11;2024;Online;Mersin;şampiyon;0
MUS-12321;93;2;954.36;477.18;9;2024;Mağaza;Gaziantep;riskli;1
MUS-11737;13;4;7599.57;1899.89;12;2024;Online;Konya;sadık;0
MUS-11515;13;14;62219.11;4444.22;12;2024;Mağaza;İzmir;şampiyon;0
MUS-10644;11;6;10124.54;1687.42;12;2024;Mağaza;Kayseri;sadık;0
MUS-11877;2;12;47506.83;3958.9;12;2024;Mağaza;İstanbul;şampiyon;0
MUS-10244;30;6;7819.8;1303.3;12;2024;Telefon;Adana;sadık;0
MUS-10138;176;4;2474.64;618.66;7;2024;Online;İstanbul;riskli;1
MUS-11010;25;3;1157.04;385.68;12;2024;Online;Bursa;riskli;1
MUS-10713;48;4;1323.86;330.97;11;2024;Online;Kayseri;riskli;1
MUS-11154;232;3;622.58;207.53;5;2024;Mağaza;Ankara;kayıp;1
MUS-12115;1;7;24314.06;3473.44;12;2024;Mağaza;Kayseri;şampiyon;0
MUS-11012;30;5;8068.86;1613.77;12;2024;Mağaza;Adana;sadık;0
MUS-11456;24;8;8000.97;1000.12;12;2024;Online;İzmir;sadık;0
MUS-10328;40;6;8429.99;1405.0;11;2024;Online;Mersin;sadık;0
MUS-11236;3;8;43254.04;5406.76;12;2024;Mağaza;İstanbul;şampiyon;0
MUS-11360;51;3;1557.27;519.09;11;2024;Mağaza;Bursa;riskli;1
MUS-11618;7;6;6167.13;1027.86;12;2024;Telefon;Konya;sadık;0
MUS-11032;160;3;585.53;195.18;7;2024;Mağaza;Ankara;kayıp;1
MUS-11196;30;3;381.97;127.32;12;2024;Mağaza;İzmir;riskli;1
MUS-11455;7;8;11435.11;1429.39;12;2024;Mağaza;Mersin;sadık;0
MUS-10383;31;13;51640.06;3972.31;11;2024;Mağaza;Mersin;şampiyon;0
MUS-10251;4;8;34381.93;4297.74;12;2024;Online;Adana;şampiyon;0
MUS-10445;69;6;41840.64;6973.44;10;2024;Online;İstanbul;şampiyon;0
MUS-10944;14;4;6102.13;1525.53;12;2024;Online;Ankara;sadık;0
MUS-11871;26;9;36029.25;4003.25;12;2024;Mağaza;Adana;şampiyon;0
MUS-10311;64;5;3590.49;718.1;10;2024;Mağaza;Gaziantep;riskli;1
MUS-11321;39;12;61211.49;5100.96;11;2024;Online;Adana;şampiyon;0
MUS-10548;40;5;5055.74;1011.15;11;2024;Telefon;Adana;sadık;0
MUS-10410;73;7;30562.54;4366.08;10;2024;Mağaza;Kayseri;şampiyon;0
MUS-10277;22;7;6875.92;982.27;12;2024;Telefon;Konya;sadık;0
MUS-10951;16;9;41812.92;4645.88;12;2024;Mağaza;Kayseri;şampiyon;0
MUS-10711;26;7;8095.66;1156.52;12;2024;Online;Gaziantep;sadık;0
MUS-12139;8;15;60738.54;4049.24;12;2024;Mağaza;Adana;şampiyon;0
MUS-10120;302;4;1082.63;270.66;3;2024;Telefon;Gaziantep;riskli;1
MUS-10756;42;3;5834.33;1944.78;11;2024;Mağaza;İzmir;sadık;0
MUS-11688;37;4;1692.38;423.1;11;2024;Online;Ankara;riskli;1
MUS-10503;42;12;51835.76;4319.65;11;2024;Online;İzmir;şampiyon;0
MUS-11391;4;13;60663.71;4666.44;12;2024;Telefon;Konya;şampiyon;0
MUS-11307;10;9;39812.86;4423.65;12;2024;Online;Kayseri;şampiyon;0
MUS-12120;132;3;292.83;97.61;8;2024;Online;Gaziantep;kayıp;1
MUS-11149;29;12;53680.37;4473.36;12;2024;Mağaza;İstanbul;şampiyon;0
MUS-10941;16;10;47105.49;4710.55;12;2024;Telefon;İzmir;şampiyon;0
MUS-11250;114;4;2106.93;526.73;9;2024;Mağaza;Mersin;riskli;1
MUS-12036;2;17;78770.12;4633.54;12;2024;Online;Kayseri;şampiyon;0
MUS-11593;41;4;2833.42;708.36;11;2024;Mağaza;İzmir;sadık;0
MUS-10802;339;3;427.19;142.4;1;2024;Online;Gaziantep;riskli;1
MUS-10657;5;7;7578.94;1082.71;12;2024;Telefon;Bursa;sadık;0
MUS-11608;7;5;6748.89;1349.78;12;2024;Online;Ankara;sadık;0
MUS-10433;40;11;58104.95;5282.27;11;2024;Mağaza;İzmir;şampiyon;0
MUS-10970;50;5;7207.59;1441.52;11;2024;Telefon;İzmir;sadık;0
MUS-11891;21;7;3702.42;528.92;12;2024;Telefon;İzmir;sadık;0
MUS-10518;56;3;315.18;105.06;11;2024;Mağaza;Kayseri;kayıp;1
MUS-11082;38;5;5936.7;1187.34;11;2024;Online;Ankara;sadık;0
MUS-11285;17;7;7458.1;1065.44;12;2024;Telefon;Konya;sadık;0
MUS-11251;6;3;3137.81;1045.94;12;2024;Telefon;İstanbul;sadık;0
MUS-10198;4;11;46318.83;4210.8;12;2024;Online;Adana;şampiyon;0
MUS-10432;3;8;45179.64;5647.45;12;2024;Online;Mersin;şampiyon;0
MUS-10004;65;6;9100.83;1516.81;10;2024;Online;Mersin;sadık;0
MUS-12031;8;7;8641.65;1234.52;12;2024;Mağaza;Adana;sadık;0
MUS-10740;27;15;82413.33;5494.22;12;2024;Online;Ankara;şampiyon;0
MUS-10499;8;15;64616.83;4307.79;12;2024;Online;Gaziantep;şampiyon;0
MUS-10143;78;6;8700.16;1450.03;10;2024;Online;Ankara;sadık;0
MUS-10864;8;12;49182.02;4098.5;12;2024;Mağaza;İstanbul;şampiyon;0
MUS-11990;80;5;2737.45;547.49;10;2024;Online;Kayseri;riskli;1
MUS-11393;23;6;9320.77;1553.46;12;2024;Online;Gaziantep;sadık;0
MUS-12054;15;16;66617.61;4163.6;12;2024;Online;Ankara;şampiyon;0
MUS-11627;29;9;32528.55;3614.28;12;2024;Telefon;Ankara;şampiyon;0
MUS-12334;99;4;2535.09;633.77;9;2024;Mağaza;Antalya;riskli;1
MUS-10416;48;3;650.25;216.75;11;2024;Telefon;Kayseri;riskli;1
MUS-11635;148;5;8144.04;1628.81;8;2024;Mağaza;Konya;sadık;0
MUS-11851;230;2;931.16;465.58;5;2024;Telefon;Adana;riskli;1
MUS-10647;83;3;3140.02;1046.67;10;2024;Online;Bursa;sadık;0
MUS-10211;29;10;41752.31;4175.23;12;2024;Mağaza;Adana;şampiyon;0
MUS-12165;52;9;24059.79;2673.31;11;2024;Mağaza;Ankara;şampiyon;0
MUS-10206;3;8;9687.22;1210.9;12;2024;Online;Kayseri;sadık;0
MUS-10365;17;6;9890.89;1648.48;12;2024;Mağaza;Adana;sadık;0
MUS-12079;4;13;61676.04;4744.31;12;2024;Telefon;İstanbul;şampiyon;0
MUS-11057;1;4;4640.22;1160.06;12;2024;Online;İzmir;sadık;0
MUS-11448;86;4;1006.68;251.67;10;2024;Mağaza;Adana;riskli;1
MUS-11297;12;10;47539.76;4753.98;12;2024;Telefon;Adana;şampiyon;0
MUS-10188;63;9;10732.16;1192.46;10;2024;Online;İstanbul;sadık;0
MUS-11004;17;7;9153.92;1307.7;12;2024;Mağaza;Antalya;sadık;0
MUS-10061;27;6;7996.91;1332.82;12;2024;Online;Gaziantep;sadık;0
MUS-11503;8;10;52957.82;5295.78;12;2024;Online;Konya;şampiyon;0
MUS-10515;63;7;7731.0;1104.43;10;2024;Online;Antalya;sadık;0
MUS-11695;2;12;41449.66;3454.14;12;2024;Online;Adana;şampiyon;0
MUS-11398;9;17;110870.92;6521.82;12;2024;Online;Ankara;şampiyon;0
MUS-10380;13;16;85776.61;5361.04;12;2024;Online;Kayseri;şampiyon;0
MUS-10141;33;4;2433.21;608.3;11;2024;Mağaza;İzmir;riskli;1
MUS-11844;57;8;7663.34;957.92;11;2024;Telefon;Antalya;sadık;0
MUS-10486;89;4;1997.04;499.26;10;2024;Mağaza;Konya;riskli;1
MUS-11100;152;3;485.98;161.99;8;2024;Mağaza;Kayseri;kayıp;1
MUS-11286;77;5;6411.81;1282.36;10;2024;Online;Ankara;sadık;0
MUS-11748;197;3;1245.15;415.05;6;2024;Mağaza;İstanbul;riskli;1
MUS-10697;20;7;9922.59;1417.51;12;2024;Mağaza;Adana;sadık;0
MUS-10349;167;4;1542.76;385.69;7;2024;Telefon;İstanbul;riskli;1
MUS-10385;373;1;192.08;192.08;12;2023;Telefon;Antalya;kayıp;1
MUS-11751;50;3;3666.63;1222.21;11;2024;Online;Adana;sadık;0
MUS-12329;65;9;9279.75;1031.08;10;2024;Online;Antalya;sadık;0
MUS-10175;10;17;75096.53;4417.44;12;2024;Online;Antalya;şampiyon;0
MUS-10632;69;8;39982.04;4997.76;10;2024;Online;Gaziantep;şampiyon;0
MUS-11620;3;5;4697.21;939.44;12;2024;Mağaza;Bursa;sadık;0
MUS-10805;28;13;45418.6;3493.74;12;2024;Mağaza;Mersin;şampiyon;0
MUS-10095;39;2;688.66;344.33;11;2024;Online;Bursa;riskli;1
MUS-11763;8;9;34167.28;3796.36;12;2024;Online;Mersin;şampiyon;0
MUS-12192;33;5;1546.14;309.23;11;2024;Online;Ankara;riskli;1
MUS-11200;11;5;7316.7;1463.34;12;2024;Online;Antalya;sadık;0
MUS-11864;24;13;57802.72;4446.36;12;2024;Telefon;Ankara;şampiyon;0
MUS-10716;52;6;8694.27;1449.05;11;2024;Online;Kayseri;sadık;0
MUS-10621;11;8;10774.59;1346.82;12;2024;Online;İzmir;sadık;0
MUS-12099;7;9;36736.41;4081.82;12;2024;Telefon;Kayseri;şampiyon;0
MUS-10324;38;6;28827.19;4804.53;11;2024;Online;Mersin;şampiyon;0
MUS-10298;12;12;66452.36;5537.7;12;2024;Online;Gaziantep;şampiyon;0
MUS-10925;36;13;61950.51;4765.42;11;2024;Online;Gaziantep;şampiyon;0
MUS-11072;591;1;159.26;159.26;5;2023;Mağaza;Bursa;kayıp;1
MUS-10149;69;5;6959.06;1391.81;10;2024;Online;Adana;sadık;0
MUS-11529;28;10;46905.15;4690.52;12;2024;Online;Ankara;şampiyon;0
MUS-10777;6;9;29728.65;3303.18;12;2024;Online;Adana;şampiyon;0
MUS-11601;42;15;76644.2;5109.61;11;2024;Telefon;İstanbul;şampiyon;0
MUS-10509;80;7;32593.12;4656.16;10;2024;Online;Bursa;şampiyon;0
MUS-11771;24;11;46296.17;4208.74;12;2024;Online;Antalya;şampiyon;0
MUS-11375;27;8;52572.26;6571.53;12;2024;Online;Bursa;şampiyon;0
MUS-11530;0;5;8341.75;1668.35;12;2024;Online;Konya;sadık;0
MUS-10140;28;9;11220.92;1246.77;12;2024;Mağaza;Antalya;sadık;0
MUS-11445;56;3;4395.95;1465.32;11;2024;Online;Ankara;sadık;0
MUS-12064;17;4;3714.31;928.58;12;2024;Mağaza;Bursa;sadık;0
MUS-10485;28;5;4777.65;955.53;12;2024;Online;Antalya;sadık;0
MUS-12040;97;2;828.38;414.19;9;2024;Mağaza;Gaziantep;riskli;1
MUS-11013;77;5;3669.86;733.97;10;2024;Online;Mersin;sadık;0
MUS-10904;31;6;9046.15;1507.69;11;2024;Telefon;İstanbul;sadık;0
MUS-11930;63;7;31420.53;4488.65;10;2024;Mağaza;Kayseri;şampiyon;0
MUS-11689;12;10;39596.61;3959.66;12;2024;Online;Antalya;şampiyon;0
MUS-11238;2;17;76013.41;4471.38;12;2024;Mağaza;Ankara;şampiyon;0
MUS-12092;33;8;10121.27;1265.16;11;2024;Online;Ankara;sadık;0
MUS-10440;230;2;1496.93;748.47;5;2024;Mağaza;İzmir;riskli;1
MUS-11162;12;12;40673.76;3389.48;12;2024;Mağaza;Ankara;şampiyon;0
MUS-11683;1;6;3875.79;645.97;12;2024;Online;Mersin;sadık;0
MUS-11754;11;8;39175.06;4896.88;12;2024;Online;Ankara;şampiyon;0
MUS-11995;4;11;49293.36;4481.21;12;2024;Mağaza;Antalya;şampiyon;0
MUS-10375;7;12;66314.67;5526.22;12;2024;Online;Adana;şampiyon;0
MUS-11777;417;2;408.83;204.42;11;2023;Online;Gaziantep;kayıp;1
MUS-11343;119;5;8911.74;1782.35;9;2024;Online;Gaziantep;sadık;0
MUS-11314;9;11;61688.77;5608.07;12;2024;Online;İzmir;şampiyon;0
MUS-11551;1;6;8700.34;1450.06;12;2024;Mağaza;Gaziantep;sadık;0
MUS-10918;35;5;2308.31;461.66;11;2024;Online;Antalya;riskli;1
MUS-11087;67;3;620.27;206.76;10;2024;Online;Ankara;kayıp;1
MUS-10409;99;6;4636.63;772.77;9;2024;Online;İstanbul;sadık;0
MUS-12164;34;3;1556.6;518.87;11;2024;Mağaza;Gaziantep;riskli;1
MUS-11912;2;16;86875.72;5429.73;12;2024;Online;Mersin;şampiyon;0
MUS-11422;165;3;1327.65;442.55;7;2024;Telefon;İstanbul;riskli;1
MUS-10677;27;13;67537.33;5195.18;12;2024;Telefon;Antalya;şampiyon;0
MUS-11609;17;7;8959.24;1279.89;12;2024;Online;Bursa;sadık;0
MUS-10675;425;1;36.43;36.43;11;2023;Online;Adana;kayıp;1
MUS-10026;43;3;1931.9;643.97;11;2024;Online;Konya;riskli;1
MUS-11267;4;12;52591.91;4382.66;12;2024;Mağaza;Bursa;şampiyon;0
MUS-11293;10;6;9628.87;1604.81;12;2024;Telefon;Konya;sadık;0
MUS-12113;173;1;52.05;52.05;7;2024;Mağaza;Ankara;kayıp;1
MUS-10220;8;14;44772.89;3198.06;12;2024;Online;Bursa;şampiyon;0
MUS-10678;20;14;63735.48;4552.53;12;2024;Telefon;Kayseri;şampiyon;0
MUS-11064;44;3;691.37;230.46;11;2024;Mağaza;Gaziantep;kayıp;1
MUS-10782;1;8;12538.85;1567.36;12;2024;Online;İstanbul;sadık;0
MUS-10308;3;13;70602.88;5430.99;12;2024;Telefon;Kayseri;şampiyon;0
MUS-11182;50;7;6321.51;903.07;11;2024;Online;Gaziantep;sadık;0
MUS-10560;10;14;48455.96;3461.14;12;2024;Online;Konya;şampiyon;0
MUS-10539;13;9;10472.21;1163.58;12;2024;Mağaza;Mersin;sadık;0
MUS-12153;0;8;7627.64;953.45;12;2024;Online;Gaziantep;sadık;0
MUS-11459;5;7;10081.13;1440.16;12;2024;Online;Gaziantep;sadık;0
MUS-10479;47;9;43684.88;4853.88;11;2024;Online;Ankara;şampiyon;0
MUS-12250;26;4;5619.79;1404.95;12;2024;Online;İzmir;sadık;0
MUS-12114;71;3;2887.78;962.59;10;2024;Telefon;Mersin;sadık;0
MUS-10755;32;5;1471.93;294.39;11;2024;Telefon;İzmir;riskli;1
MUS-11349;53;4;2192.46;548.12;11;2024;Mağaza;Konya;riskli;1
MUS-11401;12;6;7204.53;1200.75;12;2024;Mağaza;İzmir;sadık;0
MUS-10572;11;16;91596.31;5724.77;12;2024;Online;İstanbul;şampiyon;0
MUS-11407;85;7;8924.47;1274.92;10;2024;Online;Kayseri;sadık;0
MUS-10231;0;8;40554.39;5069.3;12;2024;Mağaza;Ankara;şampiyon;0
MUS-10774;32;11;55159.17;5014.47;11;2024;Online;İzmir;şampiyon;0
MUS-11284;0;11;50185.55;4562.32;12;2024;Online;İzmir;şampiyon;0
MUS-10850;209;2;1570.52;785.26;6;2024;Telefon;Mersin;riskli;1
MUS-11168;40;5;7529.08;1505.82;11;2024;Telefon;İzmir;sadık;0
MUS-11942;18;7;5767.53;823.93;12;2024;Mağaza;Ankara;sadık;0
MUS-10178;22;10;42043.74;4204.37;12;2024;Online;İzmir;şampiyon;0
MUS-11916;5;17;85211.72;5012.45;12;2024;Telefon;İzmir;şampiyon;0
MUS-10021;2;7;48030.43;6861.49;12;2024;Telefon;Mersin;şampiyon;0
MUS-12252;22;6;4948.8;824.8;12;2024;Mağaza;İzmir;sadık;0
MUS-11265;27;11;45064.68;4096.79;12;2024;Telefon;Adana;şampiyon;0
MUS-10438;256;2;642.48;321.24;4;2024;Online;Bursa;kayıp;1
MUS-10920;49;7;11064.3;1580.61;11;2024;Telefon;Bursa;sadık;0
MUS-11146;6;8;32435.43;4054.43;12;2024;Online;İstanbul;şampiyon;0
MUS-11779;21;6;16536.01;2756.0;12;2024;Mağaza;İstanbul;şampiyon;0
MUS-12230;36;14;53999.5;3857.11;11;2024;Online;Bursa;şampiyon;0
MUS-11993;37;6;10213.64;1702.27;11;2024;Mağaza;Antalya;sadık;0
MUS-11230;243;4;1745.41;436.35;5;2024;Mağaza;Mersin;riskli;1
MUS-12074;10;10;48009.51;4800.95;12;2024;Online;Mersin;şampiyon;0
MUS-11324;446;1;317.73;317.73;10;2023;Online;İstanbul;kayıp;1
MUS-11179;16;11;55430.61;5039.15;12;2024;Mağaza;Kayseri;şampiyon;0
MUS-11325;26;4;7544.12;1886.03;12;2024;Mağaza;İstanbul;sadık;0
MUS-12281;1;7;8775.58;1253.65;12;2024;Mağaza;İzmir;sadık;0
MUS-12146;20;8;9129.65;1141.21;12;2024;Online;İstanbul;sadık;0
MUS-10417;19;8;42172.95;5271.62;12;2024;Telefon;Bursa;şampiyon;0
MUS-10723;100;4;2391.17;597.79;9;2024;Online;İzmir;riskli;1
MUS-11533;0;8;14016.66;1752.08;12;2024;Telefon;Bursa;sadık;0
MUS-11024;7;15;61478.21;4098.55;12;2024;Online;Konya;şampiyon;0
MUS-10355;41;5;2147.88;429.58;11;2024;Mağaza;İstanbul;riskli;1
MUS-11607;9;11;47614.49;4328.59;12;2024;Online;Mersin;şampiyon;0
MUS-10754;78;2;1376.56;688.28;10;2024;Online;İstanbul;riskli;1
MUS-11226;0;9;36476.16;4052.91;12;2024;Mağaza;Gaziantep;şampiyon;0
MUS-10730;20;12;55276.13;4606.34;12;2024;Online;Antalya;şampiyon;0
MUS-11245;2;4;6597.39;1649.35;12;2024;Mağaza;Adana;sadık;0
MUS-12149;19;8;32897.47;4112.18;12;2024;Online;Ankara;şampiyon;0
MUS-11434;153;3;387.98;129.33;7;2024;Mağaza;Antalya;kayıp;1
MUS-11955;3;11;49736.37;4521.49;12;2024;Telefon;Antalya;şampiyon;0
MUS-11441;14;5;1494.51;298.9;12;2024;Online;İzmir;riskli;1
MUS-11437;229;4;2192.88;548.22;5;2024;Online;Mersin;riskli;1
MUS-10247;11;15;59087.66;3939.18;12;2024;Mağaza;Gaziantep;şampiyon;0
MUS-11546;15;6;9471.83;1578.64;12;2024;Mağaza;Bursa;sadık;0
MUS-11827;22;15;81896.21;5459.75;12;2024;Telefon;İzmir;şampiyon;0
MUS-11273;4;13;74963.55;5766.43;12;2024;Mağaza;Konya;şampiyon;0
MUS-11383;2;4;2825.83;706.46;12;2024;Online;Mersin;sadık;0
MUS-11016;0;14;66596.73;4756.91;12;2024;Online;Mersin;şampiyon;0
MUS-10072;69;3;740.22;246.74;10;2024;Mağaza;Konya;kayıp;1
MUS-10010;80;2;214.03;107.02;10;2024;Telefon;Antalya;kayıp;1
MUS-12058;17;3;1440.51;480.17;12;2024;Online;Antalya;sadık;0
MUS-12103;118;3;348.64;116.21;9;2024;Telefon;İstanbul;kayıp;1
MUS-10690;21;8;31671.54;3958.94;12;2024;Telefon;Konya;şampiyon;0
MUS-11202;263;2;354.42;177.21;4;2024;Mağaza;İstanbul;riskli;1
MUS-10014;15;7;7977.99;1139.71;12;2024;Online;Antalya;sadık;0
MUS-10706;11;12;53065.12;4422.09;12;2024;Online;Gaziantep;şampiyon;0
MUS-10839;15;9;44880.48;4986.72;12;2024;Online;Adana;şampiyon;0
MUS-12213;50;7;12298.67;1756.95;11;2024;Online;Konya;sadık;0
MUS-11259;32;11;52015.18;4728.65;11;2024;Telefon;Ankara;şampiyon;0
MUS-11141;62;6;4086.96;681.16;10;2024;Online;Antalya;sadık;0
MUS-11786;46;4;1592.21;398.05;11;2024;Mağaza;İzmir;riskli;1
MUS-12291;17;7;9593.49;1370.5;12;2024;Mağaza;Antalya;sadık;0
MUS-11498;48;8;32951.86;4118.98;11;2024;Telefon;Adana;şampiyon;0
MUS-11947;12;14;55054.45;3932.46;12;2024;Online;Gaziantep;şampiyon;0
